F, L, R, RW, LW, CE, E 
20.0464707065, 70.7430962202, 105.223517094, 0, 0, -19.907058587, -9.95352929351,
19.9343856218, 69.2207317082, 109.183442764, 0, 0, -20.1312287565, -10.0656143782,
20.8528373585, 70.7430962202, 106.88588226, 0, 0, -18.2943252829, -9.14716264146,
21.4940387807, 89.764950729, 102.561645139, 0, 0, -17.0119224386, -8.50596121928,
20.1971027716, 92.242777667, 92.6684217688, 0, 0, -19.6057944568, -9.80289722838,
22.4594964229, 97.1401901496, 99.5344139795, 0, 0, -15.0810071541, -7.54050357706,
23.3441653996, 95.3029582232, 100.026926809, 0, 0, -13.3116692008, -6.65583460038,
23.2988802347, 83.7343208522, 92.242777667, 0, 0, -13.4022395306, -6.70111976529,
24.1791890655, 90.1691106009, 105.223517094, 0, 0, -11.641621869, -5.82081093451,
23.6182805888, 81.6648832555, 95.3029582232, 0, 0, -12.7634388224, -6.38171941121,
24.8067198635, 89.764950729, 102.044837878, 0, 0, -10.386560273, -5.19328013652,
24.7576902944, 92.242777667, 102.044837878, 0, 0, -10.4846194113, -5.24230970563,
24.3700260221, 80.3374969028, 93.0978193429, 0, 0, -11.2599479558, -5.62997397791,
25.1036193814, 89.764950729, 102.561645139, 0, 0, -9.79276123711, -4.89638061855,
24.8558781724, 83.7343208522, 99.0465463991, 0, 0, -10.2882436552, -5.14412182762,
22.6765863734, 88.5727896903, 95.3029582232, 0, 0, -14.6468272532, -7.32341362659,
22.7203247101, 90.5767322246, 95.7560002023, 0, 0, -14.5593505797, -7.27967528985,
24.9051657486, 92.6684217688, 102.044837878, 0, 0, -10.1896685028, -5.09483425138,
25.3546594837, 92.242777667, 102.044837878, 0, 0, -9.29068103268, -4.64534051634,
25.1535613113, 101.0261668, 102.561645139, 0, 0, -9.6928773773, -4.84643868865,
25.3546594837, 90.1691106009, 101.533036819, 0, 0, -9.29068103268, -4.64534051634,
25.3546594837, 89.764950729, 102.044837878, 0, 0, -9.29068103268, -4.64534051634,
25.4560145977, 97.6101426548, 103.083535332, 0, 0, -9.08797080469, -4.54398540235,
25.2538432052, 92.6684217688, 103.610586789, 0, 0, -9.49231358967, -4.74615679484,
23.074145053, 84.4460639337, 99.5344139795, 0, 0, -13.851709894, -6.925854947,
25.3041842693, 89.764950729, 105.223517094, 0, 0, -9.39163146135, -4.69581573067,
25.3546594837, 91.8208361568, 108.600084494, 0, 0, -9.29068103268, -4.64534051634,
25.6603593887, 91.8208361568, 110.368687365, 0, 0, -8.67928122265, -4.33964061133,
24.7087889404, 90.5767322246, 114.722729767, 0, 0, -10.5824221191, -5.29121105957,
25.6090674458, 90.1691106009, 109.183442764, 0, 0, -8.78186510831, -4.39093255415,
23.5723062568, 85.1692291923, 105.223517094, 0, 0, -12.8553874864, -6.4276937432,
25.8150662784, 98.0844766581, 108.022769298, 0, 0, -8.36986744329, -4.18493372165,
25.3546594837, 92.242777667, 109.183442764, 0, 0, -9.29068103268, -4.64534051634,
25.4052694061, 83.7343208522, 108.600084494, 0, 0, -9.18946118785, -4.59473059392,
25.3041842693, 92.6684217688, 109.183442764, 0, 0, -9.39163146135, -4.69581573067,
25.5579130485, 92.242777667, 108.022769298, 0, 0, -8.88417390305, -4.44208695153,
25.5579130485, 92.6684217688, 109.772943263, 0, 0, -8.88417390305, -4.44208695153,
25.1535613113, 85.5351848267, 96.6745563963, 0, 0, -9.6928773773, -4.84643868865,
25.5068956226, 94.4090561591, 103.083535332, 0, 0, -8.98620875473, -4.49310437737,
25.3041842693, 90.1691106009, 107.451400183, 0, 0, -9.39163146135, -4.69581573067,
24.9545831227, 84.4460639337, 96.6745563963, 0, 0, -10.0908337546, -5.0454168773,
25.6090674458, 92.242777667, 108.600084494, 0, 0, -8.78186510831, -4.39093255415,
25.8150662784, 88.1820288795, 107.451400183, 0, 0, -8.36986744329, -4.18493372165,
25.5579130485, 94.4090561591, 108.600084494, 0, 0, -8.88417390305, -4.44208695153,
25.4052694061, 90.1691106009, 108.022769298, 0, 0, -9.18946118785, -4.59473059392,
23.4807051123, 92.6684217688, 99.5344139795, 0, 0, -13.0385897754, -6.51929488769,
25.5068956226, 90.1691106009, 107.451400183, 0, 0, -8.98620875473, -4.49310437737,
25.866914208, 93.0978193429, 116.693552607, 0, 0, -8.26617158394, -4.13308579197,
25.9189026023, 96.6745563963, 120.130620668, 0, 0, -8.16219479534, -4.08109739767,
25.4560145977, 92.6684217688, 120.842137285, 0, 0, -9.08797080469, -4.54398540235,
25.7117894542, 90.5767322246, 116.693552607, 0, 0, -8.57642109169, -4.28821054584,
26.2868046938, 90.5767322246, 120.842137285, 0, 0, -7.42639061235, -3.71319530618,
25.4052694061, 88.1820288795, 115.372360974, 0, 0, -9.18946118785, -4.59473059392,
23.7569041251, 92.6684217688, 107.451400183, 0, 0, -12.4861917498, -6.24309587488,
25.7117894542, 92.6684217688, 120.842137285, 0, 0, -8.57642109169, -4.28821054584,
25.2036357364, 93.5310222243, 135.248815724, 0, 0, -9.59272852721, -4.79636426361,
25.7633582228, 94.8539958628, 134.35919437, 0, 0, -9.59272852721, -4.79636426361,
25.3041842693, 84.8062010049, 120.842137285, 0, 0, -9.59272852721, -4.79636426361,
23.6643713702, 87.0290305402, 117.365371057, 0, 0, -9.59272852721, -4.79636426361,
